"","symbol","week52change","week52high","week52low","marketcap","employees","day200MovingAvg","day50MovingAvg","float","avg10Volume","avg30Volume","ttmEPS","ttmDividendRate","companyName","sharesOutstanding","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","dividendYield","nextEarningsDate","exDividendDate","peRatio","beta","nextDividendDate"
"1421","MUA",0.154081,16.05,12.5,NA,NA,14.63,15.33,NA,39162.2,38187.73,NA,NA,"BlackRock MuniAssets Fund, Inc.",0,0.261785,0.158423,0.017651,0.154081,0.146212,0.056564,-0.003294,-0.000661,-0.020078,-0.01369,NA,NA,"2019-10-01",NA,0.000322833915588056,"2019-10-01"
"1422","BKK",0.018256,15.14,14.68,304769220,NA,15,15.07,20236494.075,73929,49715.13,0.1117,0.4846,"BlackRock Municipal 2020 Term Trust",20237000,0.006667,-0.100655,-0.043093,0.018256,0.014141,0.002656,0.000664,-0.001988,0,0.000664,0.0321779548472776,NA,"2019-10-01",134.83,0.00115409904899849,"2019-10-01"
"1423","BBK",0.074521,16.05,13.06,159318220,NA,14.57,15.4,10522515.942,25842,25987.33,0.5653,0.762,"BlackRock Municipal Bond Trust",10523000,0.037249,-0.050492,-0.037234,0.074521,0.108346,0.060967,0.025051,-0.026367,-0.009162,-0.03873,0.050330250990753,NA,"2019-10-01",26.78,-0.0556311754273155,"2019-10-01"
"1424","BBF",-0.000736,14.67,11.8,138807530,NA,13.49,14.11,9538859.599,15807.6,16135.27,0.1941,0.751,"BlackRock Municipal Income Investment Trust",10229000,-0.008538,0.006616,-0.054621,-0.000736,0.107755,0.036669,-0.051712,-0.035537,-0.04571,-0.032097,0.0553426676492262,NA,"2019-10-01",69.91,0.0417359244260774,"2019-10-01"
"1425","BYM",0.064591,14.27,12.16,361234080,NA,13.44,14.06,26405366.256,50561.1,46272.37,0.5165,0.624,"BlackRock Municipal Income Quality Trust",26406000,-0.042705,-0.046099,-0.04745,0.064591,0.075472,0.029345,0.005882,-0.037298,-0.031847,-0.024947,0.0456140350877193,NA,"2019-10-01",26.49,0.00850009113733974,"2019-10-01"
"1426","BFK",0.074367,14.36,11.95,608804980,NA,13.5,14.05,44829520.577,171168.3,103018.43,-0.0797,0.728,"BlackRock Municipal Income Trust",44831000,0.059271,0.020498,-0.010646,0.074146,0.092518,0.026455,-0.024425,-0.041637,-0.034139,-0.032074,0.0536082474226804,NA,"2019-10-01",-170.39,0.0155934876977747,"2019-10-01"
"1427","BLE",0.08177,15.73,12.34,339302600,NA,14.22,15.05,23527082.28,66028.8,53690.93,0.1552,0.7745,"BlackRock Municipal Income Trust II",23530000,0.046529,-0.022759,-0.050268,0.08177,0.092424,0.020524,-0.004872,-0.076825,-0.04186,-0.043132,0.0537101248266297,NA,"2019-10-01",92.91,0.0168626731582944,"2019-10-01"
"1428","BTT",0.122488,24.11,19.91,1654070760,NA,22.41,23.63,70491193.74,144371.6,108844.97,0.9645,0.7958,"BlackRock Municipal 2030 Target Term Trust",70506000,-0.0972,0.123444,-0.012254,0.122488,0.127885,0.079613,0.019557,-0.019641,-0.012626,-0.020459,0.033921568627451,NA,"2019-10-01",24.32,-0.00952089142420049,"2019-10-01"
"1429","MEN",0.092702,11.55,9.63,328865480,NA,10.76,11.32,29676577.531,41182.9,49802.63,0.8732,0.568,"BlackRock MuniEnhanced Fund, Inc.",29681000,-0.012739,-0.04908,-0.07265,0.092702,0.09703,0.057252,0.017055,-0.035683,-0.018601,-0.031469,0.0512635379061372,NA,"2019-10-01",12.69,-0.0224314309687415,"2019-10-01"
"1430","MUC",0.075176,14.38,12.08,562957460,NA,13.35,14.06,41001876.994,104704.3,96696,0.1832,0.6,"BlackRock MuniHoldings California Quality Fund, Inc.",41002000,-0.052817,-0.074329,-0.062064,0.075176,0.089683,0.042521,0.011046,-0.037167,-0.029682,-0.033099,0.0436999271667881,NA,"2019-10-01",74.95,-0.00665517910884239,"2019-10-01"
"1431","MUH",0.075292,15.64,12.52,NA,NA,14.5,15.34,NA,17377.2,15459.7,NA,NA,"BlackRock MuniHoldings Fund II, Inc.",0,0.150893,0.001109,-0.030437,0.075292,0.11355,0.05448,-0.013414,-0.041694,-0.04882,-0.032873,NA,NA,"2019-10-01",NA,-0.0105985504097571,"2019-10-01"
"1432","MHD",0.049669,17.83,13.89,224927350,NA,16.04,16.83,14190077.585,38956.9,29582.83,1.0292,0.8275,"BlackRock MuniHoldings Fund, Inc.",14191000,0.135498,-0.003098,-0.031306,0.049669,0.059492,0.01278,-0.039976,-0.061019,-0.073099,-0.036474,0.0522082018927445,NA,"2019-10-01",15.4,-0.00782323231474172,"2019-10-01"
