"","symbol","week52change","week52high","week52low","day200MovingAvg","day50MovingAvg","avg10Volume","avg30Volume","ttmEPS","companyName","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","peRatio","beta","marketcap","employees","float","ttmDividendRate","sharesOutstanding","nextDividendDate","dividendYield","nextEarningsDate","exDividendDate"
"641","CSSEP",-0.014419,27.13,23.43,25.03,25.11,7329.4,9625.53,NA,"Chicken Soup for the Soul Entertainment, Inc.",0.018233,0.018233,0.018233,-0.018869,0.044853,0.021914,0.003011,4e-05,-0.004664,-0.001507,NA,0.103680318201008,303301402,NA,NA,NA,0,NA,NA,NA,NA
"642","PLCE",-0.294122,160.23,70.42,95.71,89.52,683636.1,965128.27,4.1694,"The Children's Place, Inc.",11.062232,1.43386,-0.049704,-0.294348,0.054386,-0.012549,-0.019682,0.129963,0.027205,0.064212,22.47,0.961209896590318,1458535570,18700,14980314.115,2.12,15571000,"2019-09-20",0.0226326465250347,"2019-11-11","2019-09-20"
"643","CMRX",-0.385475,4.4,1.74,2.8,2.91,330011.9,323348.47,-1.3215,"Chimerix, Inc.",-0.852049,-0.839862,-0.454902,-0.391061,-0.186567,0.178378,-0.382436,-0.221429,-0.369942,0.073892,-1.66,1.13088901105865,134794000,59,45257882.01,NA,61270000,NA,NA,"2019-11-11",NA
"644","CAAS",-0.402116,5,1.7,2.62,2.09,29006.6,21223.97,0.0383,"China Automotive Systems, Inc.",-0.382222,-0.632761,-0.393013,-0.407705,-0.138462,-0.402667,0.04186,0.131313,-0.004444,0.237569,59.01,0.388337527331074,71185480,4711,11756943.48,NA,31498000,NA,NA,"2019-11-07",NA
"645","CBPO",0.205333,103.5,60.08,89.13,97.09,129988.6,129154.97,3.896,"China Biologic Products Holdings, Inc.",51.259459,1.639367,-0.168344,0.211515,0.351589,0.155625,0.092827,0.041363,0.042775,-0.023544,25.52,0.556430859460949,3804972160,2187,21057444.48,NA,38264000,NA,NA,"2019-10-31",NA
"646","CCCL",-0.358112,6.45,0.7122,1.2484,0.8325,63044.2,42333.23,-11.6052,"China Ceramics Co. Ltd.",-0.950806,-0.887037,-0.256098,-0.376693,-0.525132,-0.472059,0.046159,0.121875,0.055882,0.081325,-0.08,1.10027209868287,5518415,579,3335553.792,NA,6012000,NA,NA,NA,NA
"647","CCRC",-0.022989,14.69,8.72,11.03,9.94,8342.7,15334.47,0.8779,"China Customer Relations Centers, Inc.",0.105419,0.105419,-0.235174,-0.045977,-0.298232,-0.216981,-0.113592,-0.033862,-0.102262,0.005518,10.65,0.549450505272453,171385500,11101,12004903.56,NA,18330000,NA,NA,NA,NA
"648","JRJC",-0.543011,2.23,0.64,1.0516,0.7901,20187.9,27695.6,-0.7707,"China Finance Online Co., Ltd.",-0.905983,-0.62069,-0.5,-0.560484,-0.038235,-0.462171,-0.190594,0.060311,-0.038235,0.054839,-1.1,1.30368354821227,NA,476,4372330.02458,NA,NA,NA,NA,NA,NA
"649","HGSH",-0.385122,1.6,0.66,0.9752,0.8274,8072.7,5014.4,-0.0089,"China HGS Real Estate, Inc.",1.074,-0.796667,-0.400543,-0.382276,-0.249209,-0.309273,-0.177884,-0.106118,-0.154274,-0.000263,-84.98,0.112274311875502,34071315,142,13570006.05,NA,45050000,NA,NA,NA,NA
"650","CIH",0.35625,4.66,0.34,3.01,2.89,362764.3,159289.33,NA,"China Index Holdings Ltd.",NA,NA,NA,0.28125,0.28125,0.28125,0.385135,1,0.438596,0.145251,NA,0.133153437432921,NA,615,54128617.703432,NA,NA,NA,NA,NA,NA
"651","CIFS",-0.817029,14.75,0.635,1.99,1.92,45005.5,62738.67,-0.1727,"China Internet Nationwide Financial Services, Inc.",-0.776423,-0.776423,-0.776423,-0.817029,1.244444,-0.254613,0.458484,0.080214,0.004975,0.057592,-11.7,2.38818756866055,44670280,20,7574000.772,NA,22114000,NA,NA,NA,NA
"652","CJJD",-0.206667,3.39,1.01,1.7,1.1,268188.3,269187.43,-0.076,"China Jo-Jo Drugstores, Inc.",-0.576667,-0.35533,-0.290503,-0.213333,-0.453704,-0.542636,0.092593,0.102804,0.092593,-0.008403,-15.66,0.0917543852984106,39195030,1079,23484509.181,NA,32937000,NA,NA,NA,NA
"653","CHNR",0.449438,2.68,1.01,1.7,1.67,27507.8,18745.8,-0.0377,"China Natural Resources, Inc.",0.193548,-0.447778,-0.15529,0.410112,0.456592,0.466464,0.476557,0.557072,0.691831,0.282379,-68.44,0.0189851575789378,64270380,12,9448493.19,NA,24911000,NA,NA,NA,NA
"654","CREG",-0.645882,2.6,0.28,0.6873,0.3674,342358.8,249652.9,-7.9316,"China Recycling Energy Corp.",-0.723261,-0.980486,-0.618,-0.656714,-0.511164,-0.567192,-0.031757,0.266072,0.221003,0.063841,-0.05,1.1672593950743,6787068,20,11813960.378,NA,16106000,NA,NA,NA,NA
"655","SXTC",-0.602787,23.35,1.97,4.48,2.57,22364.4,20002.8,NA,"China Sxt Pharmaceuticals, Inc.",-0.137631,-0.137631,-0.137631,-0.581882,-0.581882,-0.624413,-0.213115,-0.107807,0,0.100917,NA,0.151573581802383,61352520,96,12709013.064,NA,26909000,NA,NA,NA,NA
"656","CNTF",-0.884093,2.6,0.24,0.9069,0.4675,70724.5,31239.27,-11.0822,"China Techfaith Wireless Communication Technology Ltd.",-0.987465,-0.87922,-0.596555,-0.86507,-0.723714,-0.766048,-0.472545,-0.27475,-0.395625,-0.325349,-0.02,0.758873013259219,NA,115,NA,NA,NA,NA,NA,NA,NA
"657","CXDC",-0.4825,4.06,1.28,2.23,2.09,8047.4,17509.1,1.0912,"China XD Plastics Co., Ltd.",-0.355359,-0.654676,-0.505155,-0.4925,0.187065,-0.150628,-0.028708,0.000838,0.00495,-0.019324,1.9,0.60969238761782,105464430,1145,18129131.721,NA,50949000,NA,NA,NA,NA
"658","PLIN",-0.108,6,4.1,4.63,4.63,105746.1,105407.18,NA,"China Xiangtai Food Co., Ltd.",NA,NA,NA,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.097658,NA,0.604457858398714,NA,NA,NA,NA,0,NA,NA,NA,NA
"659","CNET",-0.277174,3.89,1.02,1.52,1.35,17389.6,32612.83,-0.3474,"ChinaNet Online Holdings, Inc.",-0.753783,-0.232691,0.204877,-0.266304,0.022727,-0.176829,0,0.054688,-0.021739,0.003195,-3.83,0.871348268301034,21829290,177,10943252.859,NA,16413000,NA,NA,NA,NA
"660","IMOS",0.433925,21.92,12.81,16.99,18.48,42891.8,37097.57,2.1886,"ChipMOS Technologies, Inc.",-0.122612,-0.122612,-0.194335,0.434948,0.281856,0.390446,0.464118,0.156863,0.20011,0.035579,9.97,0.694715353761844,NA,6001,NA,NA,NA,"0000-00-00",NA,"2019-11-07","2018-10-18"
"661","CDXC",0.0675,4.95,2.79,3.95,4.29,219385.8,214851.9,-0.5954,"Chromadex Corp.",-0.593778,0.088095,0.313218,0.035,0.214076,0.056122,-0.018957,-0.007194,-0.11349,0.022222,-7.17,0.972529241104231,196821380,100,27921394.406,NA,46094000,NA,NA,"2019-11-07",NA
"662","CHSCL",-0.008047,27.99,24.42,27.21,27.49,44333.9,36245.87,NA,"CHS, Inc.",0.099202,0.099202,-0.048538,0.013899,0.064107,0.006171,0.008,0.005076,0.007634,-0.000721,NA,0.122092434361146,NA,NA,NA,NA,0,NA,NA,NA,NA
"663","CHSCM",-0.012153,27.19,22.16,25.87,26.38,37923.6,27596.1,NA,"CHS, Inc.",0.044088,0.044088,-0.045088,0.004937,0.064789,-0.010841,0.018084,-0.00339,-0.000755,0.004175,NA,0.0711453594882511,NA,NA,NA,NA,0,NA,NA,NA,NA
"664","CHSCN",-0.031659,28.2,22.94,26.44,27.08,23689.7,18126,NA,"CHS, Inc.",0.035686,-0.036483,-0.061478,-0.009461,0.077167,0.00517,0.027558,0.002578,-0.002565,-0.010542,NA,0.199875222064233,NA,NA,NA,NA,0,NA,NA,NA,NA
"665","CHSCO",-0.055361,28.71,24.85,27.33,27.44,40138,31470.13,NA,"CHS, Inc.",0.054023,-0.066508,-0.049413,-0.031885,0.052171,-0.008967,0.006191,0.007659,0.002904,0.005093,NA,0.183289658799133,NA,NA,NA,NA,0,NA,NA,NA,NA
"666","CHSCP",-0.068954,30.49,25.72,28.31,28.21,31069.3,17372.6,NA,"CHS, Inc.",0.097191,-0.061993,-0.056172,-0.066975,0.046632,-0.044272,-0.007371,0.001771,0.003549,-0.006325,NA,0.241721753866065,NA,NA,NA,NA,0,NA,NA,NA,NA
"667","CHDN",0.362781,132.73,74.57,100.57,120.35,215882.3,216684.43,4.6186,"Churchill Downs, Inc.",7.899074,2.40469,0.776108,0.3526,0.528956,0.4291,0.08367,0.026587,-0.021152,-0.01152,26.95,1.17778601877311,4984081640,4100,34639107.164,NA,40036000,NA,NA,"2019-11-04","2018-12-06"
"668","CHUY",-0.063653,28.7,17.03,22.09,24.12,113111.2,151668.6,0.321,"Chuy's Holdings, Inc.",0.377158,-0.365167,-0.319442,-0.076673,0.393559,0.164159,0.25578,0.006307,0.071788,0.02489,80.65,0.582029196028431,429929340,9000,16434974.806,NA,16606000,NA,NA,"2019-11-01",NA
"669","CDTX",-0.504651,4.95,1.22,2.25,1.62,2205207.5,784330.9,-2.0206,"Cidara Therapeutics, Inc.",-0.84875,-0.84875,-0.663889,-0.5,-0.203704,-0.115226,0.352201,0.641221,0.592593,-0.013761,-1.05,0.865668428075781,57015840,68,18683153.888,NA,26768000,NA,NA,"2019-11-07",NA
"670","CMCT",-0.615952,69.3,15.42,54.67,53.3,27013.1,19167.1,22.3655,"CIM Commercial Trust Corp.",-0.717372,-0.171757,0.19081,-0.615238,-0.68499,-0.710394,-0.741026,-0.760593,-0.735039,0.027336,0.72,0.579720390407617,235530260,5,10115199.654,1.5,14602000,NA,0.0929944203347799,NA,"2019-09-05"
"671","CMCTP",-0.034234,30,23.21,26.6,26.18,2,54.67,NA,"CIM Commercial Trust Corp.",-0.095495,-0.095495,-0.095495,-0.034234,-0.106667,0.067729,0.067729,0.030769,0.035949,0,NA,-0.185375561515468,391333600,NA,NA,NA,0,NA,NA,NA,NA
"672","CMPR",-0.115524,146.67,73.74,96.95,106.65,266068.8,276353.17,3.0891,"Cimpress NV",4.674754,1.176012,0.017639,-0.117823,0.201575,0.593982,0.262817,0.043948,0.224587,0.077991,41.09,1.03247654981712,3857960480,13000,28302641.176,NA,30392000,NA,NA,"2019-10-30",NA
"673","CINF",0.468791,115.56,71.01,93.3,109.13,580755.6,598472.63,7.5038,"Cincinnati Financial Corp.",1.95939,0.949513,0.375143,0.472562,0.497487,0.331609,0.103166,0.022852,0.065387,-0.01479,15.05,0.682705061960359,18448801200,4999,152333033.696,2.18,163336000,"2019-09-17",0.0193005754758743,"2019-10-21","2019-09-17"
"674","CIDM",-0.280303,2.06,0.48,1.319,1.1274,20584.9,19284.63,-0.4933,"Cinedigm Corp.",-0.986486,-0.92418,0.088235,-0.242424,0.666667,-0.371069,-0.264706,-0.193548,-0.056604,0,-1.93,0.956323665695274,37704550,104,18114456.49,NA,39689000,NA,NA,"2019-11-13",NA
"675","CTAS",0.156114,270.36,155.98,216.38,256.9,653232,539998.8,8.2718,"Cintas Corp.",5.711834,2.733043,0.84352,0.155317,0.471789,0.199445,0.044711,-0.073863,-0.048334,-0.073932,29.82,1.06259853074543,25281493160,45000,81995236.785,2.05,102487000,NA,0.00831036160207556,"2019-09-23","2018-11-08"
"676","CRUS",0.41353,60,31.25,42.94,50.74,604333,737399.2,1.6462,"Cirrus Logic, Inc.",22.559242,1.197613,-0.210827,0.429298,0.640397,0.365403,0.349016,0.055003,-0.015417,0.025922,33.76,1.38446199981612,3231476780,1551,57667557.837,NA,58141000,NA,NA,"2019-10-30",NA
"677","CSCO",0.05906,58.26,40.25,51.34,52.33,17470960.3,21622859.37,2.63,"Cisco Systems, Inc.",3.205701,1.38697,0.592009,0.056943,0.162515,-0.05058,-0.111091,-0.052921,-0.098574,0.022318,19.02,1.29370187481924,212391858700,75900,4235568285.9,1.36,4245290000,NA,0.0271836897861283,"2019-11-13","2019-07-03"
"678","CTRN",-0.375413,30.92,13.41,18.13,15.89,89579.4,97582,1.2327,"Citi Trends, Inc.",0.210191,0.158537,-0.010932,-0.361533,-0.068916,-0.083491,0.290581,0.222011,0.29926,0.156194,15.33,0.82313193931715,225099000,5500,NA,0.32,11910000,NA,0.0169312169312169,"2019-11-26","2019-08-30"
"679","CTXR",-0.349286,2.52,0.8582,1.1341,1.1006,159564.8,81771.1,-0.7906,"Citius Pharmaceuticals, Inc.",-0.927333,-0.927333,-0.834811,-0.308,-0.102963,-0.322517,-0.142655,-0.111193,-0.192667,-0.22496,-1.15,0.342653908107409,20111236,7,11006850.764,NA,22076000,NA,NA,"2019-11-27",NA
"680","CTXRW",-0.625,1.2,0.02,0.2786,0.1174,217.1,1847.77,NA,"Citius Pharmaceuticals, Inc.",-0.577464788732394,-0.577464788732394,-0.577464788732394,-0.625,5,-0.285714285714286,0.578947368421053,3.28571428571429,1.5,2,NA,-2.86815962437476,4856720,NA,NA,NA,0,NA,NA,NA,NA
"681","CZNC",-0.039604,29.25,22.52,25.88,24.6,18632.6,15846.47,1.5945,"Citizens & Northern Corp.",0.420346,0.550162,0.235598,-0.052439,-0.018237,-0.037616,0.005839,0.061191,0.030714,0.117647,16.43,0.631459372422784,358488720,299,13184500.608,1.08,13688000,NA,0.0412371134020619,"2019-10-17","2019-07-26"
"682","CZWI",-0.195035,14.15,10.5,11.41,10.92,12057.2,7321.43,0.6765,"Citizens Community Bancorp, Inc. (Wisconsin)",0.739211,0.411028,-0.20255,-0.207092,-0.020158,-0.071429,0.014519,0.016364,0.035185,0.025688,16.78,0.172952866439865,127925850,265,10082337.798,0.2,11271000,NA,0.0176211453744493,"2019-11-11","2019-02-07"
"683","CIZN",-0.170213,24,19.08,21,20.52,1709,1465.7,1.1866,"Citizens Holding Co. (Mississippi)",0.403311,0.142934,-0.109664,-0.147234,-0.132468,-0.025292,-0.038203,-0.039664,-0.034873,0.002,16.43,0.0602282735080196,95784000,259,3824438.992,0.96,4912000,"2019-09-13",0.0492307692307692,"2019-10-25","2019-09-13"
"684","CTXS",-0.143991,112.87,90.28,100.11,95.34,1569877.1,2016411.6,3.9691,"Citrix Systems, Inc.",6.396992,0.636122,0.12834,-0.138817,-0.055572,-0.040076,-0.002274,0.045829,0.024191,0.022455,24.17,0.645065423789085,12560046900,8200,129665107.002,1.05,130902000,NA,0.0109431995831162,"2019-10-24","2019-09-05"
"685","CHCO",0.005264,83.04,65.32,75.05,75.09,77840,64001.8,4.71,"City Holding Co.",1.953957,0.932235,0.172808,-0.001926,0.144413,0.003615,0.036948,0.031445,0.029805,0.06962,16.62,0.797751706652858,1283885100,891,15864736.983,2.12,16397000,NA,0.0270753512132823,"2019-10-24","2019-07-12"
"686","CIVB",-0.080465,25.44,15.55,20.77,21.25,40052.5,32057.43,1.3179,"Civista Bancshares, Inc.",-0.24319,1.570792,0.051048,-0.089175,0.28271,0.01012,-0.006784,0.020921,0.030019,0.065502,16.82,0.787132422164593,346960500,432,14934591.55,0.38,15650000,NA,0.0171402796571944,"2019-10-21","2016-07-15"
"687","CIVBP",-0.095082,74,58.1,67.25,66.49,40.8,39.57,NA,"Civista Bancshares, Inc.",1.526316,1.482759,0.081893,-0.095082,0.187608,0.007299,-0.048276,0,0,0.158848,NA,-0.234545604470671,1079850000,NA,NA,NA,0,NA,NA,"2019-10-21",NA
"688","CLAR",0.104788,15.1,8.56,12.19,12.52,133855,219717.5,0.3618,"Clarus Corp.",0.075889,0.217352,1.497248,0.087133,0.172347,0.011765,-0.114054,0.071174,-0.14,0.071174,33.8,0.731498150407027,366814390,500,22859194.943,0.1,29993000,NA,0.00817661488143908,"2019-11-04","2019-08-02"
"689","CLNE",-0.196226,3.47,1.61,2.45,2.35,657944.6,820938.47,-0.0998,"Clean Energy Fuels Corp.",-0.734219,-0.645626,0.28,-0.2,0.177778,-0.273973,-0.171875,-0.009346,-0.214815,0.044335,-21.34,1.5613913351349,436032300,401,149307695.02,NA,204710000,NA,NA,"2019-11-11",NA
"690","CACG",0.036753,33.01,24.36,30.5,31.98,12610.3,25492.73,NA,"ClearBridge All Cap Growth ETF",0.291089,0.291089,0.292275,0.037466,0.212943,0.066689,0.04979,0.019146,0.00402,0.008207,NA,0.990452013568095,NA,NA,NA,NA,0,NA,NA,NA,NA
"691","YLDE",0.082272,31.59,25.52,29.23,30.8,410.5,743.23,NA,"ClearBridge Dividend Strategy ESG ETF",0.207307,0.207307,0.207307,0.078758,0.208766,0.081546,0.031186,0.034439,-0.001488,0.015332,NA,0.284214297449174,NA,NA,NA,NA,0,NA,NA,NA,NA
"692","LRGE",0.058911,36.37,27.06,33.22,35.06,17353,20900.97,NA,"ClearBridge Large Cap Growth ESG ETF",0.383012,0.383012,0.383012,0.061603,0.243433,0.075106,0.037708,0.01892,0.005381,0.008236,NA,0.750088847033926,NA,NA,NA,NA,0,NA,NA,NA,NA
"693","CLFD",-0.069597,16.75,8.41,13,12.18,44833.9,30503.97,0.34,"Clearfield, Inc.",10.161538,-0.004118,0.014685,-0.086447,0.168697,-0.189207,-0.086447,0.006457,-0.050989,0.209505,37.35,1.09950209460069,173380400,225,11098516.268,NA,13652000,NA,NA,"2019-11-08",NA
"694","CLRO",0.063415,2.6,1.12,1.98,2.23,7287.9,6084.63,-1.6504,"ClearOne, Inc.",1.444444,-0.772727,-0.801802,0.087805,0.651852,0.232044,0.013636,-0.015453,0.018265,-0.017621,-1.32,0.518882126741842,36288280,NA,8030679.594,NA,16646000,NA,NA,"2019-11-06","2018-03-06"
"695","CLSD",-0.881559,6.75,0.56,1.1934,1.001,2849030.8,1582765.17,-2.0243,"Clearside Biomedical, Inc.",-0.828966,-0.828966,-0.843829,-0.883058,-0.321739,-0.430657,-0.264151,-0.390625,-0.303571,0.164179,-0.39,1.41864470111613,29830400,50,30188213.76,NA,37760000,NA,NA,"2019-11-11",NA
"696","CLIR",-0.322222,1.9,0.75,1.1,1.25,57547.8,42711.3,-0.363,"ClearSign Combustion Corp.",-0.817381,-0.904005,-0.774412,-0.316667,0.23,0.248604,0.336957,0.051282,0,0.025,-3.36,-0.401970963859235,32576440,18,20514238.732,NA,26702000,NA,NA,NA,NA
"697","CBLI",-0.405556,2.16,1,1.5,1.41,15539.1,9061.53,-0.2678,"Cleveland BioLabs, Inc.",-0.986389,-0.868773,-0.487805,-0.433365,-0.177419,-0.413085,-0.32,-0.28169,-0.296552,-0.215385,-4,0.340016227869217,12088860,16,4728913.476,NA,11298000,NA,NA,NA,NA
"698","CLVS",-0.832508,34.63,4.98,17.85,8.45,2966110.7,4383609.17,-7.4938,"Clovis Oncology, Inc.",0.520701,-0.624681,-0.599497,-0.82322,-0.705518,-0.79512,-0.572924,0.003515,-0.356257,0.083491,-0.72,1.34198688521937,295694370,468,52158300.588,NA,54657000,NA,NA,"2019-11-11",NA
"699","CLPS",-0.607036,17.99,2.12,7.05,5.31,24837.8,17299.73,NA,"CLPS, Inc.",0.357532,0.357532,0.357532,-0.608533,1.314057,-0.479084,-0.129784,-0.00759,-0.038603,0.005769,NA,1.2037046082046,72523500,1655,3616187.478,NA,13814000,NA,NA,NA,NA
"700","CMFNL",0.007921,26.61,23.25,25.39,25.62,2916.9,2232.97,NA,"Investcorp Credit Management BDC, Inc.",0.017928,0.017928,0.017928,0.023762,0.043176,0.02579,0.019036,0.017717,0.010555,0.003673,NA,-0.0427125692260747,NA,NA,NA,NA,0,NA,NA,NA,NA
"701","CME",0.194359,224.91,161.05,188.63,208.67,1477001.2,1269109.9,5.14,"CME Group, Inc.",17.568897,1.531978,0.521349,0.191922,0.106693,0.210325,0.043916,-0.037131,0.023829,-0.079302,40.04,0.372889072721825,73695951000,4590,353480849.316,2.9,358092000,NA,0.0140913508260447,"2019-10-28","2019-09-09"
"702","CCNE",NA,31.81,21.43,26.38,27.09,24917.2,19136.9,2.4531,"CNB Financial Corp. (Pennsylvania)",0.659223,0.789572,0.19083,-0.030443,0.257511,0.081181,0.103163,0.095327,0.039007,0.116616,12.32,0.856109981276722,459283560,556,14454346.662,0.68,15198000,NA,0.0225016545334216,"2019-10-17","2019-08-29"
"703","CCB",-0.07461,18,11.85,15.59,15.11,33139.8,25836.37,0.9982,"Coastal Financial Corp. (Washington)",0.018293,0.018293,0.018293,-0.071139,0.070667,-0.023114,0.010699,0.072096,0.028828,0.094751,16.03,0.497457361507245,190592000,183,8735998.736,NA,11912000,NA,NA,"2019-10-23",NA
"704","COKE",0.581304,413.38,160.19,275.24,316.3,83587.8,90977.2,0.7163,"Coca-Cola Consolidated, Inc.",5.710641,3.33542,0.655073,0.631359,0.666593,0.163359,-0.04444,-0.147559,0.041064,0.005561,406.2,0.544325249327467,2727238492,16200,4658738.413,1,7141000,NA,0.00343689854275502,"2019-11-04","2019-07-25"
"705","COCP",-0.411765,5.28,1.51,2.67,2.19,9371.8,6739,-1.4917,"Cocrystal Pharma, Inc.",-0.145215,-0.746078,-0.669221,-0.395425,-0.510582,-0.366438,-0.271654,-0.277485,-0.19214,-0.026059,-1.21,0.464207029035784,56917800,10,11253597.69,NA,31621000,NA,NA,"2019-11-27",NA
"706","CODA",1.113281,19.2,4.77,10.02,11.21,128986.7,112059.33,0.7971,"Coda Octopus Group, Inc.",19.535714,11.321429,2.833333,1.035156,0.739566,0.278528,-0.264124,-0.057014,-0.095486,0.093389,13.57,0.779271494116771,115687440,115,2900974.824,NA,10692000,NA,NA,"2019-09-16",NA
"707","CDXS",-0.238196,23.05,12.68,18.46,15.86,658075.3,627934.37,-0.2589,"Codexis, Inc.",0.555053,12.477124,3.434409,-0.246684,-0.11856,-0.317308,-0.190883,0.029732,-0.218062,0.036496,-55.47,1.4964216907634,838035240,132,53515669.872,NA,58359000,NA,NA,"2019-11-05",NA
"708","CODX",-0.62543,3.77,0.694,1.17,1.13,175560.6,169078.6,-0.449,"Co-Diagnostics, Inc.",-0.830637,-0.830637,-0.830637,-0.635739,-0.316129,-0.116667,0.297112,-0.15873,-0.145161,-0.027523,-2.43,0.736396624289594,18659710,20,10475835.098,NA,17119000,NA,NA,"2019-11-27",NA
"709","CVLY",-0.148606,30.8,19.65,22.22,22.54,13901,10759.2,1.9207,"Codorus Valley Bancorp, Inc.",1.838898,0.338019,-0.130193,-0.138823,0.095644,0.072056,0.156398,0.09417,0.058568,0.128585,12.56,0.547752233711393,227041560,348,9067674.682,0.61524,9413000,NA,0.0255074626865672,NA,"2019-07-22"
"710","JVA",-0.241509,7.79,3.53,4.79,4.06,19565.2,16423.73,0.0519,"Coffee Holding Co., Inc.",-0.098077,-0.362772,-0.016771,-0.235849,0.049223,-0.322742,-0.081633,0,-0.002463,0.049223,115.85,0.322735703830106,22387380,79,4897612.498,NA,5569000,NA,NA,"2020-01-24",NA
"711","CCOI",0.050364,64.24,42.4,54.5,60.47,218457.5,243029.63,0.7004,"Cogent Communications Holdings, Inc.",6.13125,0.569032,0.4,0.069818,0.307556,0.150342,-0.018679,0.029932,-0.065141,-0.018679,82.48,0.876096636324307,2704560320,978,41941471.264,2.28,46816000,NA,0.0394668513069067,"2019-10-31","2019-08-22"
"712","CGNX",-0.091122,59.18,34.88,46.13,44.22,802376.6,901302.87,1.21,"Cognex Corp.",8.048964,1.869085,0.078442,-0.098685,0.296968,-0.060623,0.112964,0.111234,0.15296,0.057692,41.71,1.75011763904853,8613260670,2124,162588222.717,0.195,170661000,NA,0.00386368139488805,"2019-11-04","2019-08-15"
"713","CTSH",-0.16671,77.87,56.73,66.51,63.52,2726903.2,3058437.4,3.6121,"Cognizant Technology Solutions Corp.",20.695606,0.267546,-0.072806,-0.160104,0.027738,-0.089454,0.040103,0.050211,-0.023641,0.006051,17.81,0.927580991739442,35528880030,281600,549178287.924,0.8,552291000,NA,0.0124358775066066,"2019-11-06","2019-08-21"
"714","CWBR",-0.682713,4.91,1.24,2.55,1.53,26511.6,24046.2,-0.347,"CohBar, Inc.",0.956989,0.956989,0.318841,-0.700219,-0.599415,-0.55082,-0.194118,-0.174699,-0.092715,-0.028369,-4.18,1.24523352282656,62148450,12,28851967.872,NA,42861000,NA,NA,NA,NA
"715","COHR",-0.075379,189.39,90.1,132.18,142.85,373036.6,338793.97,5.212,"Coherent, Inc.",6.597949,1.559779,-0.319055,-0.075323,0.553193,0.201115,0.352994,0.158332,0.198858,0.017485,31.82,2.03533279789416,3977174880,5418,23659657.938,NA,23982000,NA,NA,"2019-10-28",NA
"716","CHRS",0.138028,23.43,8.32,15.91,19.57,837679.6,957088.5,-1.7362,"Coherus BioSciences, Inc.",0.325139,0.325139,-0.174815,0.12338,1.186404,0.343666,0.092603,0.029427,0.170875,-0.025415,-11.63,1.37135542170043,1409232800,232,61901387.908,NA,69764000,NA,NA,"2019-11-11",NA
"717","COHU",-0.366799,25.63,11.37,15.72,13.74,414595.4,433471.23,-2.2538,"Cohu, Inc.",0.034783,0.530168,-0.180614,-0.363276,-0.112339,-0.115596,-0.121507,0.107198,-0.059206,0.09962,-6.38,1.26833727228012,590960480,3500,39986695.672,0.24,41096000,NA,0.0166898470097357,"2019-11-05","2019-08-22"
"718","CLCT",0.710317,27.75,10.01,18.26,23.58,98545.2,73494.8,1.1162,"Collectors Universe, Inc.",7.189748,-0.174177,-0.275836,0.699735,1.236728,0.491584,0.34979,0.08714,0.097821,0.005084,23.17,0.360750483744985,236696580,434,7962020.793,0.7,9153000,NA,0.0270688321732405,NA,"2019-08-15"
"719","COLL",-0.232154,19.83,10.01,14.16,11.28,296527.8,255152.63,-0.6587,"Collegium Pharmaceutical, Inc.",0.195281,0.195281,0.935441,-0.221865,-0.320225,-0.308966,-0.008197,0.023689,0.108059,0.119334,-18.13,0.860443157159059,399643740,266,27874381.032,NA,33471000,NA,NA,"2019-11-08",NA
"720","CIGI",-0.105209,80.35,52.01,65.68,70.54,46220.9,50109.03,2.3949,"Colliers International Group, Inc.",10.000873,0.249603,0.197338,-0.113183,0.250453,0.068992,0.014717,-0.007485,-0.05119,0.010256,29.05,0.925238374015673,2753907162,13927,35647670.214,0.100638990198192,38259000,NA,0.00144658603130936,"2019-10-29","2019-06-27"
"721","CLGN",-0.245283,8.73,3.13,4.9,3.99,2783.1,7207.67,-0.8693,"CollPlant Biotechnologies Ltd.",-0.756674,-0.424581,-0.424581,-0.249226,-0.133396,-0.307983,-0.305567,0.075432,0.187791,-0.007706,-4.6,0.262312058751787,NA,42,NA,NA,NA,NA,NA,NA,NA
"722","CBAN",-0.101143,19.2,12.29,16.41,16.16,4965.4,5667.43,1.2377,"Colony Bankcorp, Inc.",0.534283,1.95416,0.274725,-0.077143,0.106164,-0.077143,-0.044944,-0.006154,-0.025347,0.059016,12.71,0.0304453996505015,149418326,330,7225207.22902,0.25,9498940,NA,0.0158931977113795,NA,"2019-07-30"
"723","COLB",-0.073791,41.44,30.65,35.89,35.38,283640.1,264736.73,2.5839,"Columbia Banking System, Inc.",1.839552,0.536132,-0.059333,-0.079467,0.013587,0.048931,0.060563,0.074618,0.029534,0.077412,14.52,0.860263167566108,2737400670,2137,72226969.482,1.5,72939000,NA,0.0399680255795364,"2019-10-25","2019-08-06"
"724","CLBK",-0.060787,16.99,14.01,15.42,15.32,266985.4,225613.1,0.4722,"Columbia Financial, Inc.",0.027886,0.027886,0.027886,-0.064958,0.027505,-0.018762,0.07099,0.009653,0.037698,0.031558,33.38,0.605601876786238,1828270320,663,51443536.164,NA,116007000,NA,NA,"2019-11-27",NA
