"","symbol","week52change","week52high","week52low","day200MovingAvg","day50MovingAvg","avg10Volume","avg30Volume","ttmEPS","companyName","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","peRatio","beta","marketcap","employees","float","ttmDividendRate","sharesOutstanding","nextDividendDate","dividendYield","nextEarningsDate","exDividendDate"
"48","ACTTW",NA,NA,NA,NA,NA,NA,NA,NA,"Act II Global Acquisition Corp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"49","ATVI",-0.304364,84.67,39.85,46.71,48.97,8554125.2,7882758.53,2.2051,"Activision Blizzard, Inc.",25.571034,1.292242,-0.107983,-0.310581,0.179035,0.268879,0.204126,0.152088,0.104802,0.01594,25.37,1.26919619412073,42915104700,9900,755400186.918,0.34,767026000,NA,0.00607685433422699,"2019-11-11","2019-03-27"
"50","ADMS",-0.714608,22.93,4.2,7.22,6.06,571618.2,406795.37,-4.2538,"Adamas Pharmaceuticals, Inc.",-0.55389,-0.686874,-0.62952,-0.718665,-0.312018,-0.168,0.356522,0.003215,0.03827,0.066667,-1.49,1.43948126343368,175790430,159,22097440.242,NA,27771000,NA,NA,"2019-10-31",NA
"51","ADMP",-0.730159,4.25,0.7,1.9757,1.0724,1219157.9,781259.8,-0.8324,"Adamis Pharmaceuticals Corp.",-0.997001,-0.652397,-0.458667,-0.729841,-0.643933,-0.697153,-0.421088,-0.26,-0.140404,0.119737,-1.02,0.986477642901011,52222300,152,58437552.394,NA,61438000,NA,NA,"2019-11-18",NA
"52","ADAP",-0.833031,14.54,1.37,3.95,2.4,308844.9,391469.47,-0.9433,"Adaptimmune Therapeutics Plc",-0.726875,-0.726875,-0.126,-0.824864,-0.651625,-0.508906,-0.478378,0.102857,-0.345763,0.229299,-1.95,1.51186172521064,NA,430,87634162.0671227,NA,NA,NA,NA,"2019-11-06",NA
"53","ADPT",0.07196,55.12,34.11,41.7,41.74,499078.3,431316.73,NA,"Adaptive Biotechnologies Corp.",NA,NA,NA,-0.0134,-0.0134,-0.0134,-0.0134,-0.077066,0.029252,-0.092859,NA,0.65483067215633,5369241600,346,114593411.712,NA,124288000,NA,NA,"2019-11-27",NA
"54","ADUS",0.142648,92.91,57.94,71.06,81.54,371727.9,209133.4,1.4587,"Addus HomeCare Corp.",6.922261,2.051724,0.822764,0.150841,0.206997,0.244423,0.089172,-0.060327,-0.029488,-0.045852,53.54,0.85060081134271,1023734800,33153,12882935.64,NA,13108000,NA,NA,"2019-11-04",NA
"55","AEY",0.458333,2.2,1.23,1.48,1.78,51551.3,32397.43,-0.6833,"ADDvantage Technologies Group, Inc.",-0.4,-0.601266,-0.296089,0.431181,0.461631,0.504307,0.475867,0.096223,0.157809,0.16435,-3.07,0.287937493305666,21758100,141,4352272.743,NA,10361000,NA,NA,NA,NA
"56","IOTS",0.880342,11.97,3.51,6.98,9.41,373728.6,402298.57,-0.9154,"Adesto Technologies Corp.",-0.081429,-0.081429,0.190741,0.911111,1.399142,0.693939,0.380247,0.05174,0.334129,0.034228,-12.02,1.327274482302,330781000,265,25260752.627,NA,30071000,NA,NA,"2019-11-11",NA
"57","ADIL",-0.452381,9.44,1.1,3.06,1.74,70341.2,44076.8,-2.1956,"Adial Pharmaceuticals, Inc.",-0.288889,-0.288889,-0.288889,-0.452381,-0.752308,-0.556474,-0.218447,-0.063736,-0.090395,0,-0.73,1.24324045779061,16489620,NA,6733490.238,NA,10242000,NA,NA,"2019-11-27",NA
"58","ADILW",0.153846,2.45,0.26,0.4909,0.6432,12009.5,20617.43,NA,"Adial Pharmaceuticals, Inc.",0.153846153846154,0.153846153846154,0.153846153846154,0.153846153846154,0.0135135135135135,0.785714285714286,1.02702702702703,-0.305555555555556,1.08333333333333,-0.166666666666667,NA,-0.477498641992739,1945980,NA,NA,NA,0,NA,NA,NA,NA
"59","ADMA",-0.195584,6.71,2.08,4,4.02,947249.5,764097.17,-1.2507,"ADMA Biologics, Inc.",-0.439766,-0.361333,0.076404,-0.176656,0.992366,0.341902,0.359375,0.352332,0.470423,0.110638,-4.08,1.01057822021425,302521800,318,45368601.166,NA,59318000,NA,NA,"2019-11-12",NA
"60","ADBE",0.036608,313.11,204.95,269.37,294.09,2656737.9,2396714,5.43,"Adobe, Inc.",17.533812,3.838137,1.099319,0.035379,0.23801,0.051592,0.006225,-0.051677,-0.068422,-0.024286,51.26,1.61584823075779,135121945650,21357,483944818.758,NA,485439000,NA,NA,"2019-09-17",NA
"61","ADTN",-0.396809,19.3,9.92,13.75,11.77,304696.1,258772,0.1039,"ADTRAN, Inc.",-0.07659,-0.222425,-0.147,-0.403191,0.034101,-0.247485,-0.316271,0.002681,0.024658,0.050562,109.14,1.07103508074319,542154060,1900,47242224.305,0.36,47809000,NA,0.0317460317460317,"2019-10-17","2019-07-31"
"62","ADRO",-0.800618,7.64,1.15,2.69,1.35,340042.7,344951.83,-1.1502,"Aduro BioTech, Inc.",-0.898571,-0.898571,-0.565306,-0.79305,-0.509158,-0.660759,-0.27957,0.015152,-0.042857,0.089431,-1.12,1.01985039619268,103380600,152,50015694.56,NA,80140000,NA,NA,"2019-10-30",NA
"63","ADES",0.275286,14.7,9.01,11.93,12.67,196905.6,142330.8,1.8722,"Advanced Emissions Solutions, Inc.",6.52,-0.469426,0.129129,0.276165,0.356075,0.286348,0.119599,0.192276,0.156175,0.126553,7.74,0.673115620199122,269381000,128,16852252.424,1,18578000,NA,0.0689655172413793,"2019-11-11","2019-08-16"
"64","AEIS",0.059819,60.76,38.74,50.71,53.02,270449,271904.47,2.6258,"Advanced Energy Industries, Inc.",5.387133,2.334708,-0.242741,0.075433,0.3188,0.210203,0.093117,0.172237,0.012755,0.033816,21.46,1.5204525291071,2158329060,2259,37951806.884,NA,38309000,NA,NA,"2019-11-04",NA
"65","AMD",0.00689,35.55,16.03,26.55,31.68,48976912.6,67278798.83,0.1876,"Advanced Micro Devices, Inc.",3.297806,5.906801,1.731076,-0.008858,0.604355,0.29213,-0.037592,-0.059172,0.011721,-0.011453,163.59,2.35952266542136,33315529500,10100,1023160184.85,NA,1085550000,NA,NA,"2019-10-18",NA
"66","ADXS",-0.974051,14.55,0.26,3.4633,0.6811,1879297.9,1218798.7,-4.2088,"Advaxis, Inc.",-0.995662,-0.915571,-0.969424,-0.974684,-0.932203,-0.960552,-0.882812,-0.280058,-0.361974,-0.104745,-0.07,1.58531104564007,7598325,58,24245155.48,NA,24710000,NA,NA,"2019-12-20",NA
"67","ADVM",-0.060163,16.38,2.62,7.52,12.45,5044418.5,2421724,-1.0486,"Adverum Biotechnologies, Inc.",-0.760272,-0.760272,1.396429,-0.030894,0.747801,0.18254,-0.477651,-0.486207,-0.533281,-0.508251,-5.51,1.55375671661593,372573020,82,51980768.944,NA,64459000,NA,NA,"2019-11-14",NA
"68","DWMC",-0.128175,25.3,18.04,21.73,22.73,922.8,2558.03,NA,"AdvisorShares Dorsey Wright Micro-Cap ETF",-0.0968,-0.0968,-0.0968,-0.124206,0.167725,0.003182,0.007257,-0.024228,-0.055223,0.006049,NA,0.626343263001347,NA,NA,NA,NA,0,NA,NA,NA,NA
"69","DWSH",0.001606,34.07,22.94,26.07,26.67,46637.1,44617.9,NA,"AdvisorShares Dorsey Wright Short ETF",-0.048319,-0.048319,-0.048319,0.004043,-0.170756,0.010599,-0.031371,-0.089552,-0.046875,-0.083547,NA,-1.15273974661452,NA,NA,NA,NA,0,NA,NA,NA,NA
