"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Ex","Company","City","State","BreachType","TotalRecords","BreachYear","Latitude","Longitude","CompanyName"
"3527","ANTM","Anthem, Inc.",3460,"$66.9B","n/a","Health Care","Medical Specialities","NYSE","Anthem","Indianapolis","Indiana","Hacking",8e+07,2015,39.768403,-86.158068,"Anthem, Inc."
"3528","ANTM","Anthem, Inc.",3460,"$66.9B","n/a","Health Care","Medical Specialities","NYSE","Anthem, Inc.",NA,"Indiana","Unintended Disclosure",3525,2016,40.760537,-73.97889,"Anthem, Inc."
"3529","ANTM","Anthem, Inc.",3460,"$66.9B","n/a","Health Care","Medical Specialities","NYSE","Anthem","Indianapolis","Indiana","Insider",18500,2017,39.769063,-86.158684,"Anthem, Inc."
"3530","ANTM","Anthem, Inc.",3460,"$66.9B","n/a","Health Care","Medical Specialities","NYSE","Anthem, Inc.",NA,"Indiana","Unintended Disclosure",18580,2017,37.09024,-95.712891,"Anthem, Inc."
"3531","ANH","Anworth Mortgage Asset  Corporation",1548,"$306.16M","n/a","Consumer Services","Real Estate Investment Trusts","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3532","AON","Aon plc",3155,"$45.95B","n/a","Finance","Specialty Insurers","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3533","APA","Apache Corporation",3223,"$8.11B","n/a","Energy","Oil & Gas Production","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3534","AIV","Apartment Investment and Management Company",3896,"$7.59B","1994","Consumer Services","Real Estate Investment Trusts","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3535","APY","Apergy Corporation",1375,"$2.01B","2018","Technology","Industrial Machinery/Components","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3536","APHA","Aphria Inc.",2277,"$1.57B","2018","Consumer Durables","Specialty Chemicals","NYSE","Apria","Phoenix","Arizona","Portable Device",65700,2012,33.448377,-112.074037,"Aphria Inc."
"3537","ARI","Apollo Commercial Real Estate Finance",914,"$2.85B","2009","Consumer Services","Real Estate Investment Trusts","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3538","APO","Apollo Global Management, LLC",3693,"$15.21B","2011","Finance","Investment Managers","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3539","AFT","Apollo Senior Floating Rate Fund Inc.",702,"$225.19M","2011","n/a","n/a","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3540","AIF","Apollo Tactical Income Fund Inc.",2946,"$211.9M","2013","n/a","n/a","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3541","APLE","Apple Hospitality REIT, Inc.",3019,"$3.57B","2015","Consumer Services","Real Estate Investment Trusts","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3542","AIT","Applied Industrial Technologies, Inc.",3925,"$2.06B","n/a","Consumer Durables","Industrial Specialties","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3543","ATR","AptarGroup, Inc.",2833,"$7.83B","n/a","Consumer Non-Durables","Plastic Products","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3544","APTV","Aptiv PLC",4208,"$21.31B","2011","Capital Goods","Auto Parts:O.E.M.","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3545","WTR","Aqua America, Inc.",3797,"$9.56B","n/a","Public Utilities","Water Supply","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3546","AQ","Aquantia Corp.",626,"$475.6M","2017","Technology","Semiconductors","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3547","WAAS","AquaVenture Holdings Limited",3095,"$560.76M","2016","Public Utilities","Water Supply","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3548","ARMK","Aramark",3748,"$10.09B","2013","Consumer Services","Restaurants","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3549","ABR","Arbor Realty Trust",2809,"$1.18B","2004","Consumer Services","Real Estate Investment Trusts","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3550","ARC","ARC Document Solutions, Inc.",296,"$64.03M","2004","Consumer Services","Professional Services","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3551","MT","ArcelorMittal",695,"$14.54B","n/a","Basic Industries","Steel/Iron Ore","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3552","ARCH","Arch Coal, Inc.",4140,"$1.25B","2016","Energy","Coal Mining","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3553","ADM","Archer-Daniels-Midland Company",3698,"$21.19B","n/a","Consumer Non-Durables","Packaged Foods","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3554","AROC","Archrock, Inc.",4272,"$1.48B","n/a","Public Utilities","Natural Gas Distribution","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3555","ARNC","Arconic Inc.",3385,"$11.37B","n/a","Capital Goods","Metal Fabrications","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3556","ARCO","Arcos Dorados Holdings Inc.",3998,"$1.35B","2011","Consumer Services","Restaurants","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3557","ACA","Arcosa, Inc.",3608,"$1.57B","2018","Capital Goods","Metal Fabrications","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3558","RCUS","Arcus Biosciences, Inc.",4093,"$358.08M","2018","Health Care","Major Pharmaceuticals","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3559","ARD","Ardagh Group S.A.",3048,"$3.95B","2017","Consumer Durables","Containers/Packaging","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3560","ASC","Ardmore Shipping Corporation",3987,"$206.53M","2013","Transportation","Marine Transportation","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3561","AFC","Ares Capital Corporation",1403,"$210.88M","n/a","n/a","n/a","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3562","ACRE","Ares Commercial Real Estate Corporation",725,"$432.74M","2012","Consumer Services","Real Estate Investment Trusts","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3563","ARDC","Ares Dynamic Credit Allocation Fund, Inc.",2955,"$342.12M","2012","n/a","n/a","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3564","ARES","Ares Management Corporation",1512,"$6.52B","2014","Finance","Investment Managers","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3565","AGX","Argan, Inc.",3755,"$645.81M","n/a","Basic Industries","Engineering & Construction","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3566","ARGO","Argo Group International Holdings, Ltd.",4044,"$2.25B","n/a","Finance","Specialty Insurers","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3567","ANET","Arista Networks, Inc.",3268,"$17.37B","2014","Technology","Computer Communications Equipment","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3568","AI","Arlington Asset Investment Corp",3740,"$181.1M","n/a","Consumer Services","Real Estate Investment Trusts","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3569","ARLO","Arlo Technologies, Inc.",1551,"$235.07M","2018","Consumer Non-Durables","Consumer Electronics/Appliances","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3570","AHH","Armada Hoffler Properties, Inc.",3086,"$1.21B","2013","Finance","Real Estate","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3571","ARR","ARMOUR Residential REIT, Inc.",813,"$971.94M","n/a","Consumer Services","Real Estate Investment Trusts","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3572","AFI","Armstrong Flooring, Inc.",2303,"$145.53M","2016","Consumer Non-Durables","Plastic Products","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3573","AWI","Armstrong World Industries Inc",4317,"$4.65B","n/a","Consumer Non-Durables","Plastic Products","NYSE","Armstrong World Industries, Deloitte & Touche","Lancaster County","Pennsylvania","Portable Device",12000,2006,40.046657,-76.178374,"Armstrong World Industries Inc"
"3574","ARW","Arrow Electronics, Inc.",4067,"$5.75B","n/a","Technology","Electronic Components","NYSE","Arrow Electronics","Melville","New York","Portable Device",4004,2010,40.793432,-73.415121,"Arrow Electronics, Inc."
"3575","ARW","Arrow Electronics, Inc.",4067,"$5.75B","n/a","Technology","Electronic Components","NYSE","Arrow Electronics","Melville","New York","Portable Device",4044,2010,40.793432,-73.415121,"Arrow Electronics, Inc."
"3576","AJG","Arthur J. Gallagher & Co.",4287,"$16.88B","n/a","Finance","Specialty Insurers","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3577","APAM","Artisan Partners Asset Management Inc.",3440,"$2.07B","2013","Finance","Investment Managers","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3578","ASA","ASA Gold and Precious Metals Limited",633,"$256.56M","n/a","n/a","n/a","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3579","ABG","Asbury Automotive Group Inc",4308,"$1.82B","2002","Consumer Durables","Automotive Aftermarket","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3580","ASX","ASE Technology Holding Co., Ltd.",1893,"$9.56B","2018","Technology","Semiconductors","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3581","ASGN","ASGN Incorporated",4026,"$3.3B","1992","Technology","Professional Services","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3582","AHT","Ashford Hospitality Trust Inc",3169,"$285.97M","2003","Consumer Services","Real Estate Investment Trusts","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3583","ASH","Ashland Global Holdings Inc.",4117,"$4.43B","n/a","Consumer Durables","Specialty Chemicals","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3584","ASPN","Aspen Aerogels, Inc.",2262,"$146.77M","2014","Consumer Services","RETAIL: Building Materials","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3585","AMK","AssetMark Financial Holdings, Inc.",3511,"$2.04B","2019","Finance","Investment Managers","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3586","ASB","Associated Banc-Corp",3140,"$3.12B","n/a","Finance","Major Banks","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3587","AC","Associated Capital Group, Inc.",3647,"$782.63M","2015","Finance","Investment Bankers/Brokers/Service","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3588","AIZ","Assurant, Inc.",2837,"$7.52B","2004","Finance","Accident &Health Insurance","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3589","AIZP","Assurant, Inc.",2834,"$352.33M","n/a","Finance","Accident &Health Insurance","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3590","AGO","Assured Guaranty Ltd.",3766,"$4.2B","2004","Finance","Property-Casualty Insurers","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3591","AZN","Astrazeneca PLC",3807,"$118.15B","n/a","Health Care","Major Pharmaceuticals","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3592","HOME","At Home Group Inc.",4003,"$431.64M","2016","Consumer Services","Home Furnishings","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3593","T","AT&T Inc.",1758,"$257.64B","n/a","Public Utilities","Telecommunications Equipment","NYSE","AT&T","Chicago","Illinois","Insider",2100,2009,41.850033,-87.650052,"AT&T Inc."
"3594","T","AT&T Inc.",1758,"$257.64B","n/a","Public Utilities","Telecommunications Equipment","NYSE","AT&T","San Antonio","Texas","Portable Device",0,2007,29.424122,-98.493628,"AT&T Inc."
"3595","T","AT&T Inc.",1758,"$257.64B","n/a","Public Utilities","Telecommunications Equipment","NYSE","AT&T","San Antonio","Texas","Portable Device",0,2008,29.424122,-98.493628,"AT&T Inc."
"3596","T","AT&T Inc.",1758,"$257.64B","n/a","Public Utilities","Telecommunications Equipment","NYSE","AT&T","Chicago","Illinois","Insider",0,2010,41.850033,-87.650052,"AT&T Inc."
"3597","T","AT&T Inc.",1758,"$257.64B","n/a","Public Utilities","Telecommunications Equipment","NYSE","AT&T","Dallas","Texas","Unintended Disclosure",0,2010,32.802955,-96.769923,"AT&T Inc."
"3598","T","AT&T Inc.",1758,"$257.64B","n/a","Public Utilities","Telecommunications Equipment","NYSE","AT&T","Dallas","Texas","Hacking",0,2011,32.802955,-96.769923,"AT&T Inc."
"3599","T","AT&T Inc.",1758,"$257.64B","n/a","Public Utilities","Telecommunications Equipment","NYSE","AT&T","Dallas","Texas","Insider",1600,2014,32.779561,-96.798889,"AT&T Inc."
"3600","T","AT&T Inc.",1758,"$257.64B","n/a","Public Utilities","Telecommunications Equipment","NYSE","AT&T","Dallas","Texas","Insider",280000,2014,32.776664,-96.796988,"AT&T Inc."
"3601","T","AT&T Inc.",1758,"$257.64B","n/a","Public Utilities","Telecommunications Equipment","NYSE","AT&T",NA,"Maryland","Insider",3,2014,40.760537,-73.97889,"AT&T Inc."
"3602","ATTO","Atento S.A.",3163,"$166.65M","2014","Public Utilities","Telecommunications Equipment","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3603","ATH","Athene Holding Ltd.",3705,"$7.29B","2016","Finance","Life Insurance","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3604","ATKR","Atkore International Group Inc.",3539,"$1.36B","2016","Miscellaneous","Industrial Machinery/Components","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3605","AT","Atlantic Power Corporation",1025,"$250.48M","n/a","Energy","Electric Utilities: Central","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3606","ATO","Atmos Energy Corporation",2766,"$13.03B","n/a","Public Utilities","Oil/Gas Transmission","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3607","AUO","AU Optronics Corp",1051,"$2.46B","2002","Technology","Semiconductors","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
